stimulus,target,sound_level,mean_p90_ms,sd_between_runs_ms,n_runs,median_n_per_run,n_per_run_run_01,n_per_run_run_02,n_per_run_run_03,n_per_run_run_04,n_per_run_run_05,n_per_run_run_06,n_per_run_run_07,n_per_run_run_08,n_per_run_run_09,n_per_run_run_10,run_p90_ms_run_01,run_p90_ms_run_02,run_p90_ms_run_03,run_p90_ms_run_04,run_p90_ms_run_05,run_p90_ms_run_06,run_p90_ms_run_07,run_p90_ms_run_08,run_p90_ms_run_09,run_p90_ms_run_10
Overall,W1 Trough,40,0.0409599726775956,0.0,10,374.0,376.0,375.0,373.0,375.0,373.0,372.0,374.0,375.0,374.0,373.0,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956
Overall,W1 Trough,50,0.0409599726775956,0.0,10,476.5,477.0,476.0,475.0,477.0,476.0,477.0,476.0,476.0,477.0,477.0,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956
Overall,W1 Trough,60,0.06553595628415296,0.021151638938858477,10,488.0,488.0,489.0,489.0,488.0,488.0,488.0,486.0,488.0,489.0,489.0,0.0819199453551912,0.0409599726775956,0.0409599726775956,0.0819199453551912,0.0819199453551912,0.0409599726775956,0.0819199453551912,0.0819199453551912,0.0409599726775956,0.0819199453551912
Overall,W1 Trough,70,0.0819199453551912,0.0,10,491.5,491.0,492.0,491.0,491.0,491.0,492.0,492.0,492.0,491.0,492.0,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912
Overall,W1 Trough,80,0.0409599726775956,0.0,10,512.0,511.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956
Overall,W3 Peak,10,0.10772472814207645,0.021849585008619894,10,65.0,65.0,66.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,0.14745590163934427,0.102399931693989,0.10649592896174861,0.1228799180327868,0.0819199453551912,0.0819199453551912,0.1228799180327868,0.0819199453551912,0.10649592896174861,0.1228799180327868
Overall,W3 Peak,20,0.0819199453551912,0.0,10,185.5,186.0,186.0,185.0,185.0,186.0,185.0,186.0,186.0,185.0,185.0,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912
Overall,W3 Peak,30,0.0409599726775956,0.0,10,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956
Overall,W3 Peak,40,0.045055969945355163,0.012952680655946775,10,376.0,377.0,375.0,376.0,377.0,376.0,377.0,375.0,376.0,375.0,375.0,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0819199453551912,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956
Overall,W3 Peak,50,0.0409599726775956,0.0,10,480.0,480.0,480.0,479.0,480.0,479.0,480.0,480.0,480.0,481.0,480.0,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956
Overall,W3 Peak,60,0.0409599726775956,0.0,10,489.5,490.0,490.0,490.0,488.0,489.0,490.0,489.0,489.0,490.0,489.0,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956
Overall,W3 Peak,70,0.0409599726775956,0.0,10,493.0,493.0,493.0,493.0,493.0,493.0,492.0,492.0,493.0,493.0,492.0,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956
Overall,W3 Peak,80,0.0409599726775956,0.0,10,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956
Overall,W3 Trough,10,0.2760702158469945,0.031206135340094705,10,62.0,62.0,63.0,62.0,61.0,61.0,62.0,62.0,62.0,63.0,62.0,0.32358378415300537,0.27852781420765044,0.2457598360655737,0.327679781420765,0.2457598360655737,0.28262381147540977,0.2457598360655737,0.2457598360655737,0.27852781420765044,0.2867198087431694
Overall,W3 Trough,20,0.22650864890710382,0.020438985324022184,10,179.0,179.0,179.0,180.0,180.0,179.0,179.0,179.0,179.0,179.0,179.0,0.21299185792349792,0.2047998633879781,0.20889586065573743,0.2047998633879781,0.2457598360655737,0.2047998633879781,0.2457598360655737,0.2457598360655737,0.2457598360655737,0.2457598360655737
Overall,W3 Trough,30,0.16875508743169404,0.012923864867959272,10,249.0,249.0,249.0,248.0,248.0,249.0,249.0,248.0,248.0,249.0,249.0,0.17203188524590232,0.1638398907103825,0.1638398907103825,0.1638398907103825,0.1638398907103825,0.2047998633879781,0.1638398907103825,0.1638398907103825,0.1638398907103825,0.1638398907103825
Overall,W3 Trough,40,0.2105342595628416,0.013405311819185833,10,367.5,368.0,366.0,367.0,367.0,368.0,368.0,367.0,367.0,368.0,368.0,0.2047998633879781,0.2047998633879781,0.2047998633879781,0.2047998633879781,0.2457598360655737,0.2047998633879781,0.2047998633879781,0.22118385245901773,0.2047998633879781,0.2047998633879781
Overall,W3 Trough,50,0.2047998633879781,0.0,10,470.0,470.0,471.0,472.0,470.0,471.0,470.0,469.0,470.0,469.0,470.0,0.2047998633879781,0.2047998633879781,0.2047998633879781,0.2047998633879781,0.2047998633879781,0.2047998633879781,0.2047998633879781,0.2047998633879781,0.2047998633879781,0.2047998633879781
Overall,W3 Trough,60,0.18718707513661195,0.020438985324022194,10,484.0,484.0,483.0,484.0,484.0,485.0,483.0,483.0,485.0,484.0,483.0,0.1638398907103825,0.2047998633879781,0.1638398907103825,0.2047998633879781,0.1638398907103825,0.2047998633879781,0.1638398907103825,0.2047998633879781,0.19251187158469896,0.2047998633879781
Overall,W3 Trough,70,0.1638398907103825,0.0,10,484.0,483.0,482.0,484.0,484.0,483.0,485.0,483.0,484.0,484.0,484.0,0.1638398907103825,0.1638398907103825,0.1638398907103825,0.1638398907103825,0.1638398907103825,0.1638398907103825,0.1638398907103825,0.1638398907103825,0.1638398907103825,0.1638398907103825
Overall,W3 Trough,80,0.19660786885245898,0.017270240874595708,10,502.0,501.0,502.0,503.0,501.0,502.0,503.0,502.0,502.0,502.0,502.0,0.1638398907103825,0.2047998633879781,0.2047998633879781,0.2047998633879781,0.2047998633879781,0.2047998633879781,0.2047998633879781,0.1638398907103825,0.2047998633879781,0.2047998633879781
