stimulus,target,n_runs,mean_of_run_means_ms,sd_between_runs_ms,mean_of_run_medians_ms,mean_within_run_sd_ms,median_n_per_run,n_per_run_run_01,n_per_run_run_02,n_per_run_run_03,n_per_run_run_04,n_per_run_run_05,n_per_run_run_06,n_per_run_run_07,n_per_run_run_08,n_per_run_run_09,n_per_run_run_10,run_mean_ms_run_01,run_mean_ms_run_02,run_mean_ms_run_03,run_mean_ms_run_04,run_mean_ms_run_05,run_mean_ms_run_06,run_mean_ms_run_07,run_mean_ms_run_08,run_mean_ms_run_09,run_mean_ms_run_10,run_median_ms_run_01,run_median_ms_run_02,run_median_ms_run_03,run_median_ms_run_04,run_median_ms_run_05,run_median_ms_run_06,run_median_ms_run_07,run_median_ms_run_08,run_median_ms_run_09,run_median_ms_run_10,within_run_sd_ms_run_01,within_run_sd_ms_run_02,within_run_sd_ms_run_03,within_run_sd_ms_run_04,within_run_sd_ms_run_05,within_run_sd_ms_run_06,within_run_sd_ms_run_07,within_run_sd_ms_run_08,within_run_sd_ms_run_09,within_run_sd_ms_run_10
4 kHz,W1 Peak,10,0.9504761659836067,0.06640154369207012,0.9625593579234973,0.2980085139518101,8.0,10.0,8.0,9.0,8.0,8.0,9.0,10.0,6.0,5.0,6.0,0.9871353415300547,0.9164793886612023,0.992141560412872,0.9523193647540984,0.9676793545081968,1.0012437765634488,0.9543673633879782,1.0308259790528234,0.7946234699453553,0.9079460610200365,0.9625593579234974,0.9830393442622952,0.9830393442622952,0.9420793715846996,1.003519330601093,0.9830393442622952,0.9625593579234974,0.9830393442622952,0.8601594262295083,0.9625593579234973,0.3335716959462646,0.2945031394528412,0.26841893734238476,0.2395870814365465,0.31035313262315334,0.350627361402025,0.27310061569480354,0.3489219134480953,0.21789781535735392,0.3431034468146328
4 kHz,W1 Trough,10,0.6992582510191692,0.05871610615817636,0.6676475546448087,0.2173416215014746,7.0,7.0,8.0,9.0,5.0,6.0,7.0,9.0,8.0,5.0,5.0,0.772388056206089,0.7679994877049181,0.7236261839708562,0.7045115300546448,0.7372795081967213,0.5968453161592506,0.7054217516697024,0.665599556010929,0.6143995901639345,0.7045115300546448,0.7782394808743169,0.7577594945355192,0.6143995901639344,0.6143995901639344,0.6553595628415301,0.6143995901639344,0.6143995901639344,0.675839549180328,0.7372795081967214,0.6143995901639344,0.2462469719966386,0.1828511693638293,0.1737784466252615,0.19080490074932976,0.21362108191745302,0.2746224314955783,0.14156067854381127,0.23144585215274951,0.32767978142076504,0.19080490074932974
4 kHz,W3 Peak,10,0.7280635143442623,0.1605681141295045,0.7167995218579235,0.25789316390167716,2.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,2.0,4.0,0.9625593579234972,0.5734396174863388,0.5939196038251366,0.6143995901639344,0.5734396174863388,0.9625593579234972,0.7372795081967214,0.9011193989071038,0.6143995901639344,0.7475195013661202,0.9625593579234972,0.5734396174863388,0.5939196038251366,0.6143995901639344,0.5734396174863388,0.9625593579234972,0.6553595628415301,0.9011193989071038,0.6143995901639344,0.7167995218579235,0.5502984143133279,,0.02896307443754356,0.057926148875087194,,0.5502984143133279,0.17617550395092832,0.4634091910006973,0.057926148875087194,0.1781484154474179
4 kHz,W3 Trough,10,0.8381634589470603,0.030817147887539868,0.7802874795081968,0.3479769807518625,21.0,24.0,22.0,21.0,19.0,19.0,21.0,22.0,21.0,20.0,19.0,0.8959994023224044,0.7968576502732241,0.8172489786625033,0.838601545872879,0.8256668176589014,0.8679613257871456,0.8210612704918033,0.8718622755659641,0.8314874453551913,0.8148878774805868,0.7987194672131148,0.7372795081967214,0.7372795081967214,0.8601594262295083,0.7372795081967214,0.8191994535519126,0.7782394808743169,0.8191994535519126,0.7782394808743169,0.7372795081967214,0.42262665053950693,0.30955791168692676,0.33136496141956234,0.3375902574229673,0.34735923322293794,0.4054042233782185,0.3189014243525638,0.3365561236072474,0.33516646076535905,0.3352425611233351
4 kHz,all targets,10,0.8315858445281185,0.033249108283406055,0.8048634631147541,0.3174267823605773,38.0,43.0,39.0,41.0,34.0,34.0,39.0,46.0,37.0,32.0,34.0,0.9001668414029736,0.8097471521647751,0.8241945721711316,0.8324512094181935,0.8360653246544519,0.8549081476810986,0.8183090193632693,0.8546242947865899,0.7782394808743169,0.8071524027643845,0.8601594262295083,0.7782394808743169,0.8191994535519126,0.8396794398907104,0.7987194672131148,0.8191994535519126,0.8191994535519126,0.8191994535519126,0.7372795081967214,0.7577594945355192,0.37715475005247867,0.2818215223025688,0.29439866342789106,0.29617798034312304,0.31825336419472783,0.3876908346943244,0.27584974755473307,0.33109834323023146,0.31124710945834333,0.3005755083473516
8 kHz,W1 Peak,10,0.7543217825429352,0.027589680988452023,0.6922235382513662,0.18332499213721803,9.0,8.0,9.0,9.0,9.0,9.0,9.0,7.0,9.0,6.0,7.0,0.7731194842896175,0.7600350485731634,0.7099728597449909,0.7509328324225866,0.7418306162720097,0.7782394808743169,0.7314280835284934,0.7782394808743169,0.7236261839708561,0.7957937548790008,0.675839549180328,0.6963195355191257,0.6553595628415301,0.6553595628415301,0.6963195355191257,0.6963195355191257,0.6553595628415301,0.6963195355191257,0.675839549180328,0.8191994535519126,0.19390433019346504,0.19004623014734032,0.15863729204143873,0.20582131542717305,0.1631272301302555,0.19750183584127287,0.18534643567323605,0.2186664167398765,0.14345739496725987,0.17674144021086252
8 kHz,W1 Trough,10,0.7173651595758522,0.03315851293000681,0.7618554918032787,0.20078865729819842,5.5,5.0,6.0,5.0,5.0,5.0,7.0,6.0,5.0,6.0,6.0,0.6881275409836066,0.7304528460837888,0.7208955191256831,0.6799355464480874,0.6881275409836066,0.6787652615144418,0.7304528460837888,0.7618554918032787,0.7714128187613843,0.7236261839708561,0.7372795081967214,0.7782394808743169,0.7782394808743169,0.7372795081967214,0.7372795081967214,0.7372795081967214,0.7782394808743169,0.8191994535519126,0.7577594945355192,0.7577594945355192,0.19728935397680644,0.20466328460427274,0.22546595454969745,0.19124403804076218,0.20356735552443006,0.23153213206335235,0.20466328460427274,0.2120445210206654,0.13564287301778233,0.20177377557994244
8 kHz,W3 Peak,7,0.5792910421545667,0.12385131590047824,0.5792910421545667,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,0.5324796448087432,,0.5324796448087432,0.5324796448087432,0.8601594262295083,,0.5324796448087432,0.5324796448087432,,0.5324796448087432,0.5324796448087432,,0.5324796448087432,0.5324796448087432,0.8601594262295083,,0.5324796448087432,0.5324796448087432,,0.5324796448087432,,,,,,,,,,
8 kHz,W3 Trough,10,0.7810286214192377,0.016329836701023642,0.7761914822404372,0.2274736972838825,21.0,20.0,20.0,21.0,21.0,23.0,21.0,21.0,23.0,22.0,23.0,0.806911461748634,0.7679994877049181,0.7762890059849077,0.8074966042154567,0.7746777441197434,0.772388056206089,0.7743385310954982,0.7639925338560228,0.7968576502732241,0.7693351389878831,0.8191994535519126,0.7372795081967214,0.7372795081967214,0.8601594262295083,0.7372795081967214,0.7372795081967214,0.8601594262295083,0.7372795081967214,0.7987194672131148,0.7372795081967214,0.24794186708835375,0.21505268824617677,0.2379475444066038,0.2399369532345056,0.23526894468688245,0.2109680021360247,0.20598621694818234,0.2105317586468705,0.239412712206169,0.23169028523905597
8 kHz,all targets,10,0.761232481736638,0.010120179932550918,0.7331835109289618,0.21147600137908634,36.0,34.0,35.0,36.0,36.0,38.0,37.0,35.0,38.0,34.0,37.0,0.7734206605593057,0.7595149219359876,0.745243947328476,0.7679994877049181,0.7577594945355192,0.7560989551026437,0.7513229274004685,0.7609931765890136,0.7794441859530697,0.7605270602569784,0.7372795081967214,0.7372795081967214,0.6963195355191257,0.7372795081967214,0.7372795081967214,0.7372795081967214,0.7372795081967214,0.7372795081967214,0.7372795081967214,0.7372795081967214,0.22722124824240486,0.20172718839002088,0.21492295108603449,0.22464060554467,0.21053154582332145,0.20921120953665226,0.19767486638044282,0.20746847232937682,0.20775381653775568,0.21360810992018414
